latitude,longitude,pokemon,times
52.7109898493869,16.382214619554,Spearow x 3 | Drowzee x 2 | Krabby x 1 | Pidgey x 1 | Horsea x 1 | Rattata x 1 | ,22:05:00 | 23:05:00 | 00:05:00 | 09:05:00 | 10:05:00 | 11:05:00 | 12:05:00 | 13:05:00 | 14:05:00 | 
52.7116082950102,16.3869398720937,Kakuna x 1 | Weedle x 2 | Pidgey x 1 | Rattata x 5 | ,22:44:31 | 23:44:31 | 08:44:31 | 09:44:31 | 10:44:31 | 11:44:31 | 12:44:31 | 13:44:31 | 14:44:31 | 
52.7025575078424,16.3780953166495,Drowzee x 1 | Pidgey x 1 | Weedle x 2 | Caterpie x 1 | Rattata x 4 | ,22:03:42 | 23:03:42 | 00:03:42 | 09:03:42 | 10:03:42 | 11:03:42 | 12:03:42 | 13:03:42 | 14:03:42 | 
52.7126683004647,16.3897608389522,Spearow x 1 | Pidgey x 1 | Weedle x 1 | Caterpie x 1 | Rattata x 5 | ,21:53:38 | 22:53:38 | 23:53:38 | 08:53:38 | 09:53:38 | 10:53:38 | 11:53:38 | 12:53:38 | 13:53:38 | 
52.7189607075315,16.3726243825903,Spearow x 1 | Weedle x 3 | Pidgey x 3 | Rattata x 2 | ,21:48:40 | 22:48:40 | 23:48:40 | 08:48:40 | 09:48:40 | 10:48:40 | 11:48:40 | 12:48:40 | 13:48:40 | 
52.7180287166372,16.371928384806,Weedle x 2 | Krabby x 1 | Pidgey x 1 | Paras x 1 | Pidgeotto x 1 | Rattata x 2 | ,22:30:27 | 23:30:27 | 09:30:27 | 10:30:27 | 11:30:27 | 12:30:27 | 13:30:27 | 14:30:27 | 
52.7034052197107,16.3818082678739,Weedle x 2 | Caterpie x 1 | Pidgey x 2 | Bellsprout x 1 | Venonat x 1 | Rattata x 1 | ,22:48:04 | 23:48:04 | 08:48:04 | 09:48:04 | 10:48:04 | 11:48:04 | 12:48:04 | 13:48:04 | 
52.7104886049167,16.3881750304458,Spearow x 1 | Weedle x 2 | Pidgey x 1 | Rattata x 3 | Raticate x 1 | ,22:48:07 | 23:48:07 | 08:48:07 | 09:48:07 | 10:48:07 | 11:48:07 | 12:48:07 | 13:48:07 | 
52.7024784738844,16.3780471291859,Gastly x 1 | Drowzee x 1 | Pidgey x 4 | Rattata x 3 | ,22:38:27 | 23:38:27 | 08:38:27 | 09:38:27 | 10:38:27 | 11:38:27 | 12:38:27 | 13:38:27 | 14:38:27 | 
52.7125163037965,16.3653724951197,Pidgeotto x 1 | Rattata x 2 | Pidgey x 5 | Eevee x 1 | ,21:58:28 | 22:58:28 | 23:58:28 | 08:58:28 | 09:58:28 | 10:58:28 | 11:58:28 | 12:58:28 | 13:58:28 | 
