latitude,longitude,pokemon,appear_times,disappear_times
52.7156147020903,16.3744210343049,Eevee x 3 | ,22:01:26 | 23:01:26 | 11:01:26 | ,22:31:26 | 23:31:26 | 11:31:26 | 
52.7146494298721,16.3739604522455,Eevee x 2 | ,22:17:52 | 11:14:27 | ,22:47:52 | 11:44:27 | 
52.7183672753144,16.3616493720564,Eevee x 2 | ,22:36:37 | 23:36:37 | ,23:06:37 | 00:06:37 | 
52.7077670967301,16.3752628379955,Eevee x 3 | ,10:17:21 | 11:17:21 | 14:17:21 | ,10:47:21 | 11:47:21 | 14:47:21 | 
52.6993250653347,16.3912092316493,Eevee x 2 | ,23:01:36 | 12:01:01 | ,23:31:36 | 12:31:01 | 
52.714017517121,16.3711457792301,Eevee x 2 | ,22:30:53 | 12:29:18 | ,23:00:53 | 12:59:18 | 
52.7190945041492,16.3692531293063,Eevee x 2 | ,09:01:28 | 14:01:28 | ,09:31:28 | 14:31:28 | 
